id,source,related,gui,os,duplicate,prereq_tutorial,links,comments
84,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-test-ansible-roles-with-molecule-on-ubuntu-16-04,
85,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-add-the-gzip-module-to-nginx-on-ubuntu-16-04,
86,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-deploy-falcon-web-applications-with-gunicorn-and-nginx-on-ubuntu-16-04,
88,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-automate-elixir-phoenix-deployment-with-distillery-and-edeliver-on-ubuntu-16-04,
89,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-swift-and-vapor-on-ubuntu-16-04,
91,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-alertmanager-and-blackbox-exporter-to-monitor-your-web-server-on-ubuntu-16-04,
92,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-encrypt-traffic-to-redis-with-stunnel-on-ubuntu-16-04,
94,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-continuous-integration-pipelines-with-concourse-ci-on-ubuntu-16-04,
95,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-thou-canst-maketh-a-fine-program-in-fortran,
96,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-securely-manage-secrets-with-hashicorp-vault-on-ubuntu-16-04,
97,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-enable-and-connect-the-django-admin-interface,
98,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-and-serve-webp-images-to-speed-up-your-website,
99,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-set-up-a-redis-server-as-a-session-handler-for-php-on-ubuntu-16-04,
100,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/webinar-series-getting-started-with-containers,
